City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
137,Faanui,PF,78.64,scattered clouds,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
142,Kattivakkam,IN,77.0,mist,13.22,80.32,St. Joseph Thirumana mandapam
143,Labuhan,ID,75.13,moderate rain,-6.88,112.21,bador sepret
147,Umm Lajj,SA,78.87,clear sky,25.02,37.27,Moon light Furnished Units
148,Touros,BR,86.0,scattered clouds,-5.2,-35.46,INN NEW HORIZON
153,Dovers,VC,78.8,broken clouds,12.88,-61.18,Ocean Breeze
154,Pobe,BJ,78.37,scattered clouds,6.98,2.66,Hôtel Le Pacha
155,Inhambane,MZ,77.0,scattered clouds,-23.86,35.38,Oceano
156,Pattani,TH,75.2,broken clouds,6.75,100.42,inesthongkam
160,Georgetown,MY,75.2,light rain,5.41,100.34,Cititel Penang
161,Dingle,PH,75.65,moderate rain,11.0,122.67,Camp Pasica
175,Port Blair,IN,80.22,few clouds,11.67,92.75,Fortune Resort Bay Island
180,Huntington Beach,US,71.6,haze,33.66,-118.0,Kimpton Shorebreak Huntington Beach Resort
188,Teahupoo,PF,82.4,few clouds,-17.83,-149.27,Vanira Lodge
189,Pacific Grove,US,72.0,clear sky,36.62,-121.92,Lovers Point Inn
193,Matay,EG,74.57,few clouds,28.42,30.78,Nag Aespen
194,Sorong,ID,80.96,broken clouds,-0.88,131.25,The Waigo Hotel
195,Pedernales,DO,86.0,broken clouds,18.04,-71.74,Hotel Costa Marina
198,Adrar,MR,89.38,overcast clouds,20.5,-10.07,
202,Bilma,NE,75.83,clear sky,18.69,12.92,Expeditions Ténére voyages
207,Omboue,GA,77.7,overcast clouds,-1.57,9.26,Hotel Olako
208,Taoudenni,ML,84.07,overcast clouds,22.68,-3.98,
214,Maiduguri,NG,83.68,clear sky,11.85,13.16,College of Nursing & Midwifery Female's Hostel
215,Mangai,CD,75.6,broken clouds,-4.05,19.53,
216,Ambilobe,MG,73.09,broken clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
218,Eyl,SO,79.93,scattered clouds,7.98,49.82,Amiin Hotel
230,Garowe,SO,78.49,clear sky,8.41,48.48,Curubo Hotel
232,Vallenar,CL,83.23,clear sky,-28.57,-70.76,Humacao Bed & Breakfast
237,Hilo,US,80.01,clear sky,19.73,-155.09,Hilo Hawaiian Hotel
239,Aswan,EG,81.64,clear sky,24.09,32.91,Nuba Nile
240,Clovis,US,71.01,clear sky,36.83,-119.7,"Homewood Suites by Hilton Fresno Airport/Clovis, CA"
241,Karaton,ID,81.0,mist,-6.34,106.1,Parkir Mobil Wisata CAS Water Park
243,Siparia,TT,88.0,light rain,10.13,-61.5,Brook Gardens
245,Salalah,OM,77.0,clear sky,17.02,54.09,HAMDAN PLAZA HOTEL
247,General Pico,AR,77.77,clear sky,-35.66,-63.76,Hotel Malargue
250,Hithadhoo,MV,83.8,light rain,-0.6,73.08,Scoop Guest House
251,Parauna,BR,81.66,moderate rain,-16.95,-50.45,Hotel Serras de Paraúna
256,Ca Mau,VN,76.17,light rain,9.18,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
258,Makakilo City,US,77.0,clear sky,21.35,-158.09,Marriott's Ko Olina Beach Club
263,Oranjestad,AW,84.2,shower rain,12.52,-70.03,Divi Village Golf & Beach Resort
265,San Andres,CO,86.0,broken clouds,12.58,-81.7,Hotel Arena Blanca
267,Alta Floresta,BR,87.8,broken clouds,-9.88,-56.09,Floresta Amazonica Hotel
269,Hambantota,LK,79.75,scattered clouds,6.12,81.12,Bungalow 63
271,Otavi,,82.8,light rain,-19.65,17.33,Stop 'n Stay Otavi Rest Camp
272,San Cristobal,VE,87.8,scattered clouds,7.77,-72.22,Pirineos
273,Benghazi,LY,70.83,clear sky,32.12,20.07,Tibesti Hotel
274,Sola,VU,82.4,broken clouds,-13.88,167.55,Ulkel Guest House
275,Padang,ID,78.08,moderate rain,-0.95,100.35,Mercure Padang
276,Vao,NC,73.22,broken clouds,-22.67,167.48,Hotel Kou-Bugny
280,Shirgaon,IN,79.11,clear sky,19.7,72.7,LAXMI GARDEN BEACH RESORT
283,Vega De Alatorre,MX,77.29,clear sky,20.03,-96.63,Hotel Deluxe
284,Naya Bazar,IN,71.6,scattered clouds,27.13,88.27,Club Mahindra Baiguney
285,Yanam,IN,75.99,clear sky,16.73,82.22,The Regency Hotel
286,Tiznit,MA,73.53,clear sky,29.58,-9.5,
289,Kapit,MY,74.19,overcast clouds,2.02,112.93,Hotel Meligai Kapit
293,Beira,MZ,77.0,few clouds,-19.84,34.84,Beira Terrace Hotel
298,Mwinilunga,ZM,71.04,broken clouds,-11.74,24.43,Kwakuwahi Lodge
299,Vila Velha,BR,73.4,light rain,-20.33,-40.29,Hotel Vitória Palace
301,Guymon,US,73.4,clear sky,36.68,-101.48,Super 8 Guymon
302,Trairi,BR,86.04,broken clouds,-3.28,-39.27,Pousada Field Lilies - Trairi
303,Puerto Santander,CO,87.8,scattered clouds,8.36,-72.41,
305,Minbu,MM,77.52,broken clouds,20.18,94.88,Kaung Thar Guest House - Burmese Only
307,Ugoofaaru,MV,82.96,scattered clouds,5.67,73.0,Ungoofaaru Inn
309,Divo,CI,76.03,light rain,5.84,-5.36,Hôtel IROKO
315,Artigas,UY,72.46,clear sky,-30.4,-56.47,Hotel Casino San Eugenio del Cuareim
321,Fare,PF,79.25,few clouds,-16.7,-151.02,Maitai Lapita Village Huahine
323,Buin,CL,86.0,clear sky,-33.73,-70.75,Paihuen
324,Ocos,GT,89.6,few clouds,14.51,-92.19,La Bajadita
325,Dicabisagan,PH,75.94,light rain,17.08,122.42,Nancy Montanes Bernardo
326,Tiarei,PF,82.4,few clouds,-17.53,-149.33,Le Rocher de Tahiti
331,Kibara,TZ,73.4,few clouds,-2.15,33.45,
333,High Rock,BS,82.4,shower rain,26.62,-78.28,Ocean Pearl Bonefishing Resort
341,Malakal,SS,79.9,few clouds,9.53,31.66,Nile Palace Hotel
343,Maltahohe,,78.33,broken clouds,-24.83,16.98,Maltahöhe Hotel
345,Kukshi,IN,76.01,clear sky,22.2,74.75,City Pride Hotel
348,Turbana,CO,82.4,shower rain,10.27,-75.44,Cartagena Hills
358,Trelew,AR,84.67,clear sky,-43.25,-65.31,Hotel Touring Club
359,Kampot,KH,78.8,moderate rain,10.62,104.18,Champa Lodge
360,Bubaque,GW,85.55,broken clouds,11.28,-15.83,"Casa Dora, Bubaque"
361,Tessalit,ML,84.78,scattered clouds,20.2,1.01,
363,Luganville,VU,75.2,broken clouds,-15.53,167.17,The Espiritu Hotel
364,Khudumelapye,BW,81.37,scattered clouds,-23.88,24.75,
366,Santa Maria,BR,72.72,broken clouds,-29.68,-53.81,Hotel Morotin
372,Yangambi,CD,72.18,light rain,0.81,24.43,
375,Villa Carlos Paz,AR,80.01,clear sky,-31.42,-64.5,Monte Carlo
376,Bengkulu,ID,76.59,moderate rain,-3.8,102.27,Grage Hotel Bengkulu
378,Candelaria,PH,78.01,light rain,13.93,121.42,Casa de Provincia
381,Buraydah,SA,71.6,clear sky,26.33,43.98,Mövenpick Hotel Qassim
383,Honiara,SB,75.2,few clouds,-9.43,159.95,Heritage Park Hotel
386,Muisne,EC,84.2,broken clouds,0.6,-80.03,Quinta Samay
389,Takoradi,GH,79.83,scattered clouds,4.88,-1.76,Raybow International Hotel
399,Ponta Do Sol,PT,75.0,few clouds,32.67,-17.1,Hotel do Campo
400,Los Llanos De Aridane,ES,77.0,clear sky,28.66,-17.92,Valle Aridane
404,Port Hedland,AU,75.2,clear sky,-20.32,118.57,The Esplanade Hotel
405,Saint-Georges,GD,78.8,light intensity shower rain,12.06,-61.75,Siesta Hotel
407,Jos,NG,73.4,clear sky,9.92,8.9,Silk Suites
411,Bougouni,ML,84.56,few clouds,11.42,-7.48,Non Stop
413,Gambela,ET,73.54,light rain,8.25,34.58,Solomon Debebe Hotel
416,Uarini,BR,73.4,overcast clouds,-2.99,-65.11,
417,Isangel,VU,74.8,broken clouds,-19.55,169.27,Volcano Sea View Tree House
419,Banting,MY,77.0,scattered clouds,2.82,101.5,Hotel Intan Jugra
420,Mount Darwin,ZW,76.26,few clouds,-16.77,31.58,
421,Kutum,SD,78.93,clear sky,14.2,24.67,Dibbo areaمنطقة دبو
422,Mocuba,MZ,73.47,light rain,-16.84,36.99,Phama Lodge
426,Trincomalee,LK,81.28,overcast clouds,8.57,81.23,Welcombe Hotel
427,Namatanai,PG,80.2,overcast clouds,-3.67,152.43,Namatanai Hotel
430,Thinadhoo,MV,82.94,moderate rain,0.53,72.93,
435,Noumea,NC,71.6,clear sky,-22.28,166.46,Hôtel Le Lagon
436,Rincon,US,73.4,overcast clouds,32.3,-81.24,Bent tree subdivision
