City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
231,Paracuru,BR,-3.41,-39.03,80.01,77,69,21.99,light rain
232,Mount Gambier,AU,-37.83,140.77,55.4,54,90,19.46,overcast clouds
233,Chadan,RU,51.28,91.58,36.25,79,100,2.66,light rain
234,Torbay,CA,47.67,-52.73,39.0,86,75,2.24,broken clouds
235,Russell,US,32.35,-85.2,73.4,93,1,3.83,mist
236,Correntina,BR,-13.34,-44.64,70.12,93,100,0.94,heavy intensity rain
237,Bria,CF,6.54,21.99,70.36,93,100,2.28,overcast clouds
238,Chicama,PE,-7.84,-79.15,64.08,78,94,3.11,overcast clouds
239,Kpandae,GH,8.47,-0.01,74.5,81,100,4.59,overcast clouds
240,Victoria,HK,22.29,114.16,75.99,44,100,5.01,overcast clouds
241,Olavarria,AR,-36.89,-60.32,56.28,96,0,5.41,clear sky
242,Sitka,US,57.05,-135.33,39.2,29,75,9.17,broken clouds
243,Fukue,JP,32.69,128.84,60.8,59,75,13.87,broken clouds
244,Clyde River,CA,70.47,-68.59,21.2,85,90,4.7,overcast clouds
245,Ribeira Brava,PT,32.65,-17.07,66.2,68,40,6.93,scattered clouds
246,Bhadrachalam,IN,17.67,80.88,78.37,76,28,3.85,scattered clouds
247,San Patricio,US,28.02,-97.52,78.8,100,75,21.92,broken clouds
248,Tibati,CM,6.47,12.63,65.82,92,100,1.05,overcast clouds
249,Aswan,EG,24.09,32.91,72.82,37,0,13.09,clear sky
250,Dakar,SN,14.69,-17.44,82.4,94,75,4.7,broken clouds
251,Kruisfontein,ZA,-34.0,24.73,69.01,88,42,3.0,scattered clouds
252,Moron,AR,-34.65,-58.62,66.0,94,55,1.99,light rain
253,Sao Joao Da Barra,BR,-21.64,-41.05,72.79,80,84,13.27,broken clouds
254,Gamba,GA,-2.65,10.0,76.23,86,100,6.71,overcast clouds
255,Bilma,NE,18.69,12.92,73.54,23,0,16.62,clear sky
256,Husavik,IS,66.04,-17.34,41.0,80,90,4.7,drizzle
257,Erenhot,CN,43.65,111.98,48.09,41,0,8.08,clear sky
258,Pauini,BR,-7.71,-66.98,75.15,90,77,0.18,broken clouds
259,Taft,IR,31.75,54.21,51.8,40,0,2.24,clear sky
260,Aasiaat,GL,68.71,-52.87,19.2,95,97,6.22,overcast clouds
261,Tuktoyaktuk,CA,69.45,-133.04,24.8,100,90,3.36,mist
262,Cassilandia,BR,-19.11,-51.73,73.98,84,100,4.74,light rain
263,Sao Felix Do Xingu,BR,-6.64,-51.99,73.54,93,100,1.9,moderate rain
264,Kavieng,PG,-2.57,150.8,84.81,62,61,3.38,broken clouds
265,Avera,US,33.19,-82.53,68.0,82,1,4.52,clear sky
266,Marienburg,PL,54.04,19.03,50.0,100,100,3.13,overcast clouds
267,Bambous Virieux,MU,-20.34,57.76,77.0,69,40,11.41,scattered clouds
268,Bosobolo,CD,4.18,19.9,70.41,93,83,1.34,broken clouds
269,Belaya Gora,RU,68.53,146.42,12.36,90,15,1.3,few clouds
270,Severnyy,RU,50.68,36.55,51.8,76,0,6.71,clear sky
271,Marzuq,YE,14.4,46.47,58.69,31,20,1.95,few clouds
272,Lady Frere,ZA,-31.7,27.23,66.47,57,17,8.03,few clouds
273,Creston,US,41.06,-94.36,33.8,80,90,16.11,overcast clouds
274,Alofi,NU,-19.06,-169.92,80.6,74,75,19.46,broken clouds
275,Zhezkazgan,KZ,47.8,67.71,27.75,86,0,4.56,clear sky
276,Tessalit,ML,20.2,1.01,80.13,18,0,12.55,clear sky
277,Along,IN,28.17,94.77,67.51,90,100,0.54,light rain
278,Razole,IN,16.48,81.83,84.04,76,30,4.27,scattered clouds
279,Hellvik,NO,59.92,5.78,46.99,82,100,8.01,light rain
280,Praia Da Vitoria,PT,38.73,-27.07,66.99,72,40,15.35,scattered clouds
281,Dalvik,IS,65.97,-18.53,41.0,80,90,4.7,drizzle
282,Te Anau,NZ,-45.42,167.72,58.86,64,100,9.95,light rain
283,Poronaysk,RU,49.22,143.12,47.55,67,100,19.6,overcast clouds
284,Shimoda,JP,34.67,138.95,69.8,43,20,11.41,few clouds
285,Kamaishi,JP,39.27,141.88,53.6,62,75,3.36,broken clouds
286,Iralaya,HN,15.0,-83.23,79.83,87,98,3.78,moderate rain
287,Muli,MV,2.92,73.57,82.06,79,35,9.69,scattered clouds
288,Aitape,PG,-3.14,142.35,86.97,62,33,5.08,light rain
289,Rusape,ZW,-18.53,32.13,56.43,84,3,1.21,clear sky
290,Omboue,GA,-1.57,9.26,76.23,89,100,6.24,overcast clouds
291,Chumikan,RU,54.72,135.31,31.1,97,100,8.93,overcast clouds
292,Arman,RU,59.7,150.17,39.87,82,100,5.35,overcast clouds
293,Kieta,PG,-6.22,155.63,84.04,70,99,2.93,light rain
294,Comodoro Rivadavia,AR,-45.87,-67.5,57.2,62,0,9.01,clear sky
295,Kalabo,ZM,-14.97,22.68,66.7,31,0,4.27,clear sky
296,Zyryanka,RU,65.75,150.85,27.19,94,0,6.64,clear sky
297,Pokhara,NP,28.23,83.98,74.32,32,0,2.17,clear sky
298,Aklavik,CA,68.22,-135.01,23.0,92,5,4.7,clear sky
299,Hami,CN,42.8,93.45,58.41,29,4,10.29,clear sky
300,Stokmarknes,NO,68.56,14.91,41.0,78,16,15.01,few clouds
301,Banda Aceh,ID,5.56,95.32,86.59,61,70,8.25,light rain
302,Taoudenni,ML,22.68,-3.98,84.18,14,57,8.01,broken clouds
303,Pochutla,MX,15.74,-96.47,81.0,85,85,3.2,light rain
304,Vagay,RU,57.94,69.02,22.84,94,0,4.61,clear sky
305,Tarakan,ID,3.3,117.63,82.33,76,100,4.09,moderate rain
306,Qandala,SO,11.47,49.87,78.96,58,53,3.74,broken clouds
307,Tombouctou,ML,20.0,-3.0,86.2,13,11,6.31,few clouds
308,Harrisonburg,US,38.45,-78.87,63.0,100,1,4.0,clear sky
309,Puerto Del Rosario,ES,28.5,-13.86,69.8,73,0,18.34,clear sky
310,Dingle,PH,11.0,122.67,78.6,89,100,9.35,overcast clouds
311,Sistranda,NO,63.73,8.83,35.6,69,0,10.29,clear sky
312,Guabito,PA,9.5,-82.62,78.87,82,100,2.17,overcast clouds
313,Mercedes,AR,-34.65,-59.43,66.0,95,52,3.0,broken clouds
314,Berlevag,NO,70.86,29.09,36.88,93,100,29.12,overcast clouds
315,Mehamn,NO,71.04,27.85,36.57,92,100,24.83,light rain
316,Abu Dhabi,AE,24.47,54.37,75.2,78,0,3.36,clear sky
317,Flinders,AU,-34.58,150.86,75.0,72,100,3.0,light rain
318,Asosa,ET,10.07,34.53,61.86,92,85,4.36,overcast clouds
319,Poum,NC,-20.23,164.02,78.33,74,2,14.76,clear sky
320,Annau,TM,37.89,58.52,51.8,57,20,6.93,few clouds
321,Kilindoni,TZ,-7.91,39.67,78.98,80,38,6.35,scattered clouds
322,Hamilton,US,39.18,-84.53,57.99,86,91,5.01,light rain
323,Pangody,RU,65.85,74.49,13.28,95,96,9.62,overcast clouds
324,Jodhpur,IN,26.29,73.03,82.09,19,0,3.74,clear sky
325,Port Augusta,AU,-32.5,137.77,62.6,72,78,25.28,broken clouds
326,Emba,KZ,48.83,58.14,36.37,77,100,18.95,light rain
327,Sampit,ID,-2.53,112.95,89.46,65,45,0.98,moderate rain
328,Abu Zabad,SD,12.35,29.25,77.45,18,47,6.2,scattered clouds
329,Sakakah,SA,29.97,40.21,64.4,18,0,3.36,clear sky
330,Lompoc,US,34.64,-120.46,60.8,82,1,0.27,clear sky
331,Port Lincoln,AU,-34.73,135.87,55.04,60,100,18.79,overcast clouds
332,Pafos,CY,34.77,32.42,68.0,52,0,4.7,clear sky
333,Olafsvik,IS,64.89,-23.71,42.94,74,8,13.67,clear sky
334,Monrovia,LR,6.3,-10.8,73.4,94,75,6.62,broken clouds
335,Tenosique,MX,17.48,-91.43,75.25,93,100,5.64,overcast clouds
336,Mold,GB,53.17,-3.14,48.0,86,100,3.0,light rain
337,Havoysund,NO,71.0,24.66,35.6,93,75,33.33,broken clouds
338,Leshukonskoye,RU,64.9,45.76,26.13,98,100,7.52,overcast clouds
339,Macherla,IN,16.48,79.43,80.06,71,0,4.25,clear sky
340,Cartagena Del Chaira,CO,1.33,-74.84,73.76,88,95,2.35,overcast clouds
341,Udachnyy,RU,66.42,112.4,15.8,66,0,13.42,clear sky
342,Evreux,FR,49.02,1.15,54.0,93,90,14.99,overcast clouds
343,Dezful,IR,32.38,48.41,67.19,25,0,5.53,clear sky
344,Gat,IL,31.61,34.76,69.01,88,40,3.36,scattered clouds
345,Baykit,RU,61.67,96.37,29.5,95,99,3.56,overcast clouds
346,Port-Cartier,CA,50.03,-66.87,36.0,100,90,23.04,mist
347,Pasni,PK,25.26,63.47,74.3,32,0,27.18,clear sky
348,Vao,NC,-22.67,167.48,73.81,86,6,16.11,clear sky
349,Tual,ID,-5.67,132.75,82.62,78,11,9.13,light rain
350,Bardiyah,LY,31.76,25.09,69.8,71,4,13.18,light rain
351,Iberia,US,29.95,-91.75,71.6,100,20,4.7,few clouds
352,Silver City,US,32.77,-108.28,55.4,39,1,9.17,clear sky
353,Warri,NG,5.52,5.75,75.15,94,100,2.89,overcast clouds
354,Altamira,BR,-3.2,-52.21,75.56,87,7,0.31,clear sky
355,Catuday,PH,16.29,119.81,82.33,73,100,3.83,overcast clouds
356,Mbanza-Ngungu,CD,-5.25,14.87,69.49,98,100,5.91,heavy intensity rain
357,Santa Maria,BR,-29.68,-53.81,65.73,94,76,2.26,broken clouds
358,Juneau,US,58.3,-134.42,35.6,34,75,4.7,broken clouds
359,Dzilam Gonzalez,MX,21.28,-88.93,77.09,94,100,4.88,light rain
360,Warrnambool,AU,-38.38,142.48,59.0,64,50,1.01,scattered clouds
361,Mnogovershinnyy,RU,53.94,139.92,40.23,99,100,27.16,moderate rain
362,Bogatyye Saby,RU,56.01,50.45,45.36,97,100,11.7,moderate rain
363,Tokur,RU,53.13,132.9,25.65,93,100,12.75,overcast clouds
364,West Wendover,US,40.74,-114.07,42.8,24,1,4.76,clear sky
